Index, Currency, Rate
1, AED, 4.050557
2, AFN, 83.646316
3, ALL, 123.184936
4, AMD, 527.79495
5, ANG, 1.973116
6, AOA, 543.263004
7, ARS, 68.507605
8, AUD, 1.689669
9, AWG, 1.985004
10, AZN, 1.879104
11, BAM, 1.960978
12, BBD, 2.225583
13, BDT, 93.517301
14, BGN, 1.954529
15, BHD, 0.4157
16, BIF, 2084.254384
17, BMD, 1.10278
18, BND, 1.53866
19, BOB, 7.622248
20, BRL, 4.932795
21, BSD, 1.102314
22, BTC, 0.000127
23, BTN, 79.626745
24, BWP, 12.32293
25, BYN, 2.468581
26, BYR, 21614.489913
27, BZD, 2.221873
28, CAD, 1.479479
29, CDF, 1870.315445
30, CHF, 1.063774
31, CLF, 0.032688
32, CLP, 901.968156
33, CNY, 7.710533
34, COP, 3860.072203
35, CRC, 628.160483
36, CUC, 1.10278
37, CUP, 29.223673
38, CVE, 111.274809
39, CZK, 25.456139
40, DJF, 195.986513
41, DKK, 7.472222
42, DOP, 59.125599
43, DZD, 132.289934
44, EGP, 17.237001
45, ERN, 16.542096
46, ETB, 35.675369
47, EUR, 1
48, FJD, 2.445419
49, FKP, 0.860162
50, GBP, 0.860102
51, GEL, 3.077187
52, GGP, 0.860162
53, GHS, 5.959268
54, GIP, 0.860162
55, GMD, 56.297354
56, GNF, 10404.730613
57, GTQ, 8.459962
58, GYD, 230.058136
59, HKD, 8.59783
60, HNL, 27.492736
61, HRK, 7.471201
62, HTG, 97.442576
63, HUF, 338.38922
64, IDR, 15785.194317
65, ILS, 3.850881
66, IMP, 0.860162
67, INR, 79.593197
68, IQD, 1312.308316
69, IRR, 46432.556398
70, ISK, 139.711636
71, JEP, 0.860162
72, JMD, 151.291549
73, JOD, 0.781545
74, JPY, 119.233009
75, KES, 111.59001
76, KGS, 77.029614
77, KHR, 4493.829284
78, KMF, 492.22632
79, KPW, 992.515719
80, KRW, 1323.683536
81, KWD, 0.337494
82, KYD, 0.91862
83, KZT, 421.087384
84, LAK, 9827.976615
85, LBP, 1668.506672
86, LKR, 200.557842
87, LRD, 217.992099
88, LSL, 17.214818
89, LTL, 3.256223
90, LVL, 0.667061
91, LYD, 1.55534
92, MAD, 10.583936
93, MDL, 19.460389
94, MGA, 4083.595084
95, MKD, 61.837621
96, MMK, 1577.897799
97, MNT, 3048.260716
98, MOP, 8.848991
99, MRO, 393.692533
100, MUR, 41.570004
101, MVR, 17.104537
102, MWK, 813.304445
103, MXN, 21.633131
104, MYR, 4.646568
105, MZN, 71.972986
106, NAD, 17.214813
107, NGN, 403.070236
108, NIO, 37.660356
109, NOK, 10.362498
110, NPR, 127.400612
111, NZD, 1.764263
112, OMR, 0.42456
113, PAB, 1.102314
114, PEN, 3.809558
115, PGK, 3.755009
116, PHP, 56.202004
117, PKR, 170.163053
118, PLN, 4.333507
119, PYG, 7193.515415
120, QAR, 4.015498
121, RON, 4.815404
122, RSD, 117.925832
123, RUB, 73.788234
124, RWF, 1031.099391
125, SAR, 4.137318
126, SBD, 9.102719
127, SCR, 14.648001
128, SDG, 60.326128
129, SEK, 10.597059
130, SGD, 1.536537
131, SHP, 0.860162
132, SLL, 10713.509022
133, SOS, 647.332291
134, SRD, 8.224576
135, STD, 24138.508938
136, SVC, 9.645497
137, SYP, 567.930449
138, SZL, 17.214805
139, THB, 34.771064
140, TJS, 10.672166
141, TMT, 3.85973
142, TND, 3.140171
143, TOP, 2.55691
144, TRY, 6.88433
145, TTD, 7.453301
146, TWD, 33.236731
147, TZS, 2535.185175
148, UAH, 27.129568
149, UGX, 4089.484323
150, USD, 1.10278
151, UYU, 42.564515
152, UZS, 10505.083579
153, VEF, 11.01402
154, VND, 25623.646958
155, VUV, 131.251187
156, WST, 3.021405
157, XAF, 657.689581
158, XAG, 0.06612
159, XAU, 0.000696
160, XCD, 2.980319
161, XDR, 0.80472
162, XOF, 658.360085
163, XPF, 119.596903
164, YER, 276.081399
165, ZAR, 17.273611
166, ZMK, 9926.348177
167, ZMW, 16.616674
168, ZWL, 355.095193
